,Code,Date,매출액,영업이익,당기순이익,자산총계,자본총계,부채총계,ROE(%),ROA(%),EPS(원),PER(배),BPS(원),PBR(배)
0,000220,2020/09,255.0,15.0,10.0,1500.0,1010.0,490.0,3.38,3.14,43.0,39.95,6216.0,1.34
1,000220,2020/12,247.0,1.0,-4.0,1549.0,1170.0,379.0,1.26,1.65,-29.0,92.32,6532.0,1.16
2,000220,2021/03,265.0,5.0,5.0,1601.0,1157.0,445.0,-0.59,0.32,15.0,,6438.0,1.41
3,000220,2021/06,282.0,5.0,3.0,1924.0,1295.0,630.0,0.29,0.86,-8.0,555.71,6698.0,1.46
4,000220,2021/09,298.0,6.0,-2.0,1956.0,1321.0,635.0,-0.85,0.16,-30.0,,6642.0,1.22
