,Code,Date,매출액,영업이익,당기순이익,자산총계,자본총계,부채총계,ROE(%),ROA(%),EPS(원),PER(배),BPS(원),PBR(배)
0,000210,2020/09,22219.0,2496.0,2291.0,139520.0,71412.0,68108.0,11.81,5.88,5278.0,4.1,169000.0,0.46
1,000210,2020/12,-56671.0,-7270.0,-682.0,139019.0,32113.0,106905.0,11.84,4.19,-1989.0,6.34,67178.0,1.24
2,000210,2021/03,5099.0,660.0,3246.0,66184.0,33771.0,32413.0,13.73,6.49,17829.0,4.69,176887.0,0.49
3,000210,2021/06,5812.0,475.0,4502.0,74773.0,42631.0,32142.0,17.58,8.7,22320.0,2.58,173367.0,0.46
4,000210,2021/09,6226.0,745.0,974.0,79563.0,43729.0,35834.0,14.85,7.34,4025.0,2.41,177645.0,0.43
