,Code,Date,매출액,영업이익,당기순이익,자산총계,자본총계,부채총계,ROE(%),ROA(%),EPS(원),PER(배),BPS(원),PBR(배)
0,001500,2020/09,2059.0,544.0,406.0,96965.0,10715.0,86250.0,10.38,1.17,1048.0,3.78,27648.0,0.37
1,001500,2020/12,1947.0,-110.0,-95.0,91679.0,10658.0,81021.0,8.2,1.04,-245.0,5.79,27500.0,0.46
2,001500,2021/03,2440.0,570.0,412.0,107599.0,10862.0,96737.0,9.71,1.0,1063.0,5.01,28028.0,0.47
3,001500,2021/06,1862.0,425.0,313.0,98742.0,11187.0,87556.0,9.64,1.03,808.0,5.2,28865.0,0.48
4,001500,2021/09,2544.0,405.0,300.0,97377.0,11493.0,85885.0,8.38,0.96,774.0,5.27,29654.0,0.43
