,Code,Date,매출액,영업이익,당기순이익,자산총계,자본총계,부채총계,ROE(%),ROA(%),EPS(원),PER(배),BPS(원),PBR(배)
0,001750,2020/09,1324.0,246.0,188.0,34661.0,3376.0,31286.0,13.67,1.26,1421.0,2.59,25570.0,0.33
1,001750,2020/12,1102.0,118.0,71.0,19677.0,3511.0,16166.0,14.22,2.42,539.0,2.66,26593.0,0.35
2,001750,2021/03,2055.0,360.0,245.0,45137.0,3706.0,41431.0,18.39,1.44,1848.0,2.44,28073.0,0.4
3,001750,2021/06,2301.0,359.0,258.0,37820.0,4003.0,33817.0,21.24,1.97,1945.0,2.93,30323.0,0.56
4,001750,2021/09,2241.0,249.0,171.0,33385.0,4198.0,29187.0,19.67,2.19,1288.0,3.3,31800.0,0.58
