,Code,Date,매출액,영업이익,당기순이익,자산총계,자본총계,부채총계,ROE(%),ROA(%),EPS(원),PER(배),BPS(원),PBR(배)
0,000990,2020/09,2406.0,671.0,470.0,11574.0,7816.0,3758.0,23.28,14.51,1057.0,10.12,17994.0,2.08
1,000990,2020/12,2278.0,304.0,136.0,11786.0,7946.0,3840.0,23.07,14.64,305.0,13.67,18294.0,2.79
2,000990,2021/03,2437.0,606.0,478.0,11962.0,8285.0,3678.0,20.98,13.55,1074.0,15.78,19062.0,2.95
3,000990,2021/06,2747.0,814.0,590.0,12489.0,8877.0,3612.0,20.64,14.14,1326.0,16.59,20425.0,3.06
4,000990,2021/09,3284.0,1190.0,927.0,13625.0,9806.0,3819.0,24.18,16.91,2082.0,11.41,22563.0,2.42
