,Code,Date,매출액,영업이익,당기순이익,자산총계,자본총계,부채총계,ROE(%),ROA(%),EPS(원),PER(배),BPS(원),PBR(배)
0,000240,2020/09,2210.0,603.0,649.0,37844.0,34738.0,3105.0,3.35,3.31,660.0,13.98,36684.0,0.46
1,000240,2020/12,2291.0,525.0,707.0,37925.0,35005.0,2920.0,5.08,4.86,753.0,8.04,36963.0,0.4
2,000240,2021/03,2370.0,674.0,639.0,39006.0,35445.0,3561.0,6.0,5.58,655.0,8.53,37412.0,0.49
3,000240,2021/06,2314.0,596.0,518.0,39359.0,36216.0,3143.0,7.06,6.58,546.0,7.79,38129.0,0.53
4,000240,2021/09,2439.0,664.0,619.0,40415.0,37321.0,3094.0,6.9,6.35,653.0,6.1,39292.0,0.4
