,Code,Date,매출액,영업이익,당기순이익,자산총계,자본총계,부채총계,ROE(%),ROA(%),EPS(원),PER(배),BPS(원),PBR(배)
0,000660,2020/09,81288.0,12997.0,10779.0,692672.0,504991.0,187681.0,5.8,4.31,1480.0,21.36,73800.0,1.14
1,000660,2020/12,79662.0,9659.0,17677.0,711739.0,519091.0,192648.0,9.53,6.98,2427.0,18.14,75860.0,1.56
2,000660,2021/03,84942.0,13244.0,9926.0,751180.0,523786.0,227394.0,10.13,7.17,1360.0,18.92,76542.0,1.73
3,000660,2021/06,103217.0,26946.0,19884.0,777179.0,548780.0,228399.0,11.16,7.93,2726.0,15.95,79768.0,1.6
4,000660,2021/09,118053.0,41718.0,33153.0,832690.0,587144.0,245546.0,14.75,10.57,4548.0,9.31,85338.0,1.21
