,Code,Date,매출액,영업이익,당기순이익,자산총계,자본총계,부채총계,ROE(%),ROA(%),EPS(원),PER(배),BPS(원),PBR(배)
0,001390,2020/09,9166.0,690.0,-4.0,40658.0,14526.0,26132.0,2.83,1.22,-934.0,25.32,28286.0,0.71
1,001390,2020/12,9523.0,503.0,413.0,43235.0,15077.0,28159.0,11.94,3.65,1067.0,7.19,29528.0,0.81
2,001390,2021/03,10351.0,899.0,1076.0,44825.0,15900.0,28925.0,21.17,5.71,3036.0,4.47,29694.0,0.91
3,001390,2021/06,12400.0,1397.0,1218.0,46919.0,17079.0,29839.0,20.36,6.16,3196.0,5.98,35060.0,1.12
4,001390,2021/09,13041.0,1487.0,420.0,49490.0,17560.0,31929.0,21.86,6.94,-517.0,5.07,34734.0,0.99
