,Code,Date,매출액,영업이익,당기순이익,자산총계,자본총계,부채총계,ROE(%),ROA(%),EPS(원),PER(배),BPS(원),PBR(배)
0,000250,2020/09,415.0,0.0,-79.0,3083.0,2501.0,582.0,-5.09,-0.12,-409.0,,8218.0,6.69
1,000250,2020/12,394.0,-21.0,72.0,3171.0,2577.0,594.0,-0.56,2.47,224.0,,8457.0,9.71
2,000250,2021/03,396.0,-42.0,-32.0,3453.0,2535.0,919.0,-3.79,0.16,-186.0,,8263.0,6.17
3,000250,2021/06,415.0,-20.0,-14.0,3455.0,2536.0,920.0,-6.36,-1.65,-108.0,,8225.0,6.61
4,000250,2021/09,426.0,-89.0,-21.0,3436.0,2516.0,920.0,-3.16,0.17,-179.0,,8048.0,6.19
