종목명,현재가,대비,대비(%),거래량,L(일봉)H,종목코드,거래량 (G),거래대금(만원) (H),매출액 영업이익률(%) (L),결산기준 (L),매출액 순이익률(%) (M),결산기준 (M),매출액(백만원) (A1),결산기준 (A1),매출액(백만원) (B1),결산기준 (B1),매출액(백만원) (C1),결산기준 (C1)
알리코제약,"12,150",,0,"26,585",0,A260660,"26,585","32,012",10.83,Dec-19,8.66,Dec-19,"115,793",Dec-19,"95,337",Dec-18,"71,357",Dec-17
덕우전자,"8,940",-140,-1.54,"132,660",-1.54,A263600,"132,660","117,200",9.56,Dec-19,7.09,Dec-19,"129,391",Dec-19,"88,409",Dec-18,"113,323",Dec-17
디알젬,"12,450",250,2.05,"103,589",2.05,A263690,"103,589","126,535",7.61,Dec-19,9.1,Dec-19,"60,087",Dec-19,"56,626",Dec-18,"49,323",Dec-17
디앤씨미디어,"35,850",-750,-2.05,"103,493",-2.05,A263720,"103,493","364,308",18.78,Dec-19,11.52,Dec-19,"42,139",Dec-19,"32,081",Dec-18,"26,536",Dec-17
펄어비스,"293,000",-400,-0.14,"38,269",-0.14,A263750,"38,269","1,110,016",28.1,Dec-19,29.42,Dec-19,"535,936",Dec-19,"404,763",Dec-18,"52,383",Dec-17
지니언스,"7,090",,0,"218,696",0,A263860,"218,696","154,453",9.21,Dec-19,12.46,Dec-19,"24,925",Dec-19,"21,445",Dec-18,"20,812",Dec-17
유비쿼스,"20,850",950,4.77,"144,268",4.77,A264450,"144,268","295,739",11.76,Dec-19,10.72,Dec-19,"103,877",Dec-19,"95,274",Dec-18,"76,227",Dec-17
씨앤지하이테크,"13,800",-300,-2.13,"54,104",-2.13,A264660,"54,104","74,122",11.24,Dec-19,9.16,Dec-19,"128,842",Dec-19,"88,260",Dec-18,"75,190",Dec-17
나인테크,"4,605",-10,-0.22,"805,278",-0.22,A267320,"805,278","366,435",8.58,Dec-19,5.61,Dec-19,"75,241",Dec-19,"50,000",Dec-18,"51,534",Dec-17
배럴,"10,800",200,1.89,"62,059",1.89,A267790,"62,059","65,908",14.1,Dec-19,11.47,Dec-19,"59,946",Dec-19,"50,068",Dec-18,"35,286",Dec-17
지엔원에너지,"4,005",-420,-9.49,"1,402,218",-9.49,A270520,"1,402,218","570,954",8.96,Dec-19,7.55,Dec-19,"35,807",Dec-19,"29,444",Dec-18,"26,543",Dec-17
뉴트리,"28,450",-400,-1.39,"65,730",-1.39,A270870,"65,730","185,183",9.55,Dec-19,7.57,Dec-19,"125,146",Dec-19,"87,218",Dec-18,"60,382",Dec-17
오리온,"129,000","-3,000",-2.27,"94,301",-2.27,A271560,"94,301","1,224,099",16.19,Dec-19,10.9,Dec-19,"2,023,296",Dec-19,"1,926,947",Dec-18,"1,073,283",Dec-17
케이엔제이,"12,450",-250,-1.97,"54,158",-1.97,A272110,"54,158","66,209",6.8,Dec-19,7.89,Dec-19,"56,310",Dec-19,"51,106",Dec-18,"48,382",Dec-17
이녹스첨단소재,"45,600",-250,-0.55,"49,797",-0.55,A272290,"49,797","226,730",13.31,Dec-19,9.89,Dec-19,"349,330",Dec-19,"293,115",Dec-18,"193,104",Dec-17
삼양패키징,"23,750",,0,"132,695",0,A272550,"132,695","315,790",11.08,Dec-19,7.56,Dec-19,"375,442",Dec-19,"366,291",Dec-18,"333,439",Dec-17
인산가,"1,935",-35,-1.78,"286,336",-1.78,A277410,"286,336","55,022",15.44,Dec-19,12.2,Dec-19,"25,864",Dec-19,"25,231",Dec-18,"26,017",Dec-17
천보,"161,000","-1,600",-0.98,"82,231",-0.98,A278280,"82,231","1,295,303",20.1,Dec-19,17.04,Dec-19,"135,310",Dec-19,"120,088",Dec-18,"87,486",Dec-17
